Starting Training: 488 updates expected.
Update 169/488 | True Score: 668.52 | Optim Score: 620.29 | Std: 0.5987
Update 170/488 | True Score: 663.60 | Optim Score: 626.27 | Std: 0.5857
Update 171/488 | True Score: 830.18 | Optim Score: 782.67 | Std: 0.5876
Update 172/488 | True Score: 846.60 | Optim Score: 800.20 | Std: 0.5992
Update 173/488 | True Score: 722.25 | Optim Score: 685.13 | Std: 0.6026
Update 174/488 | True Score: 624.30 | Optim Score: 578.21 | Std: 0.6043
Update 175/488 | True Score: 876.97 | Optim Score: 832.22 | Std: 0.6018
Update 176/488 | True Score: 688.43 | Optim Score: 640.95 | Std: 0.6056
Update 177/488 | True Score: 639.93 | Optim Score: 600.73 | Std: 0.6148
Update 178/488 | True Score: 854.68 | Optim Score: 805.21 | Std: 0.6184
Update 179/488 | True Score: 880.28 | Optim Score: 832.03 | Std: 0.6160
Update 180/488 | True Score: 643.83 | Optim Score: 595.02 | Std: 0.6234
Update 181/488 | True Score: 565.43 | Optim Score: 528.63 | Std: 0.6174
Update 182/488 | True Score: 866.24 | Optim Score: 819.60 | Std: 0.6161
Update 183/488 | True Score: 887.90 | Optim Score: 841.67 | Std: 0.6144
Update 184/488 | True Score: 769.08 | Optim Score: 733.82 | Std: 0.6190
Update 185/488 | True Score: 889.12 | Optim Score: 844.59 | Std: 0.6193
Update 186/488 | True Score: 901.03 | Optim Score: 857.36 | Std: 0.6183
Update 187/488 | True Score: 817.78 | Optim Score: 773.68 | Std: 0.6209
Update 188/488 | True Score: 624.46 | Optim Score: 578.74 | Std: 0.6185
Update 189/488 | True Score: 556.89 | Optim Score: 522.32 | Std: 0.6170
Update 190/488 | True Score: 693.06 | Optim Score: 647.89 | Std: 0.6197
Update 191/488 | True Score: 779.47 | Optim Score: 734.21 | Std: 0.6296
Update 192/488 | True Score: 931.81 | Optim Score: 886.88 | Std: 0.6240
Update 193/488 | True Score: 810.45 | Optim Score: 763.77 | Std: 0.6235
Update 194/488 | True Score: 890.75 | Optim Score: 843.23 | Std: 0.6264
Update 195/488 | True Score: 944.62 | Optim Score: 899.20 | Std: 0.6207
Update 196/488 | True Score: 649.92 | Optim Score: 610.73 | Std: 0.6261
Update 197/488 | True Score: 558.18 | Optim Score: 510.75 | Std: 0.6261
Update 198/488 | True Score: 901.84 | Optim Score: 857.50 | Std: 0.6272
Update 199/488 | True Score: 780.03 | Optim Score: 733.38 | Std: 0.6239
Update 200/488 | True Score: 685.92 | Optim Score: 639.13 | Std: 0.6252
Update 201/488 | True Score: 665.55 | Optim Score: 616.67 | Std: 0.6251
Update 202/488 | True Score: 924.03 | Optim Score: 876.82 | Std: 0.6161
Update 203/488 | True Score: 758.37 | Optim Score: 720.52 | Std: 0.6100
Update 204/488 | True Score: 962.62 | Optim Score: 915.79 | Std: 0.5986
Update 205/488 | True Score: 888.34 | Optim Score: 842.78 | Std: 0.5985
Update 206/488 | True Score: 815.52 | Optim Score: 764.63 | Std: 0.5938
Update 207/488 | True Score: 655.80 | Optim Score: 618.31 | Std: 0.5888
Update 208/488 | True Score: 888.36 | Optim Score: 844.33 | Std: 0.5868
Update 209/488 | True Score: 838.67 | Optim Score: 790.70 | Std: 0.5862
Update 210/488 | True Score: 775.64 | Optim Score: 728.72 | Std: 0.5817
Update 211/488 | True Score: 881.85 | Optim Score: 835.64 | Std: 0.5853
Update 212/488 | True Score: 633.41 | Optim Score: 594.87 | Std: 0.5869
Update 213/488 | True Score: 935.69 | Optim Score: 890.66 | Std: 0.5709
Update 214/488 | True Score: 977.08 | Optim Score: 933.70 | Std: 0.5756
Update 215/488 | True Score: 886.29 | Optim Score: 841.62 | Std: 0.5729
